Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
19-Apr-24,EQ,6840.05,7150.00,6810.05,6893.20,7110.00,7119.50,6993.40,8192.00,5828.00,1218375.00,8520584081.50,130411.00
18-Apr-24,EQ,6928.10,6995.00,6866.00,6954.25,6895.00,6893.20,6914.00,8192.00,5828.00,1385133.00,9576814620.95,137063.00
16-Apr-24,EQ,7009.95,7034.30,6931.00,7076.25,6956.55,6954.25,6969.10,8192.00,5828.00,963293.00,6713285527.00,93098.00
15-Apr-24,EQ,7145.05,7198.80,7063.45,7229.55,7065.00,7076.25,7125.80,8192.00,5828.00,758448.00,5404548928.15,68913.00
12-Apr-24,EQ,7224.00,7264.00,7156.30,7230.25,7210.00,7229.55,7218.76,8192.00,5786.00,1092588.00,7887126736.50,120592.00
10-Apr-24,EQ,7235.90,7254.00,7160.00,7193.60,7219.85,7230.25,7210.99,8192.00,5786.00,567986.00,4095743503.75,58478.00
09-Apr-24,EQ,7220.00,7235.35,7124.50,7178.55,7189.00,7193.60,7184.53,8192.00,5786.00,710281.00,5103032470.10,79057.00
08-Apr-24,EQ,7215.00,7226.95,7142.80,7175.65,7180.00,7178.55,7175.43,8192.00,5786.00,518210.00,3718381437.30,51026.00
05-Apr-24,EQ,7234.75,7259.00,7156.00,7283.40,7189.65,7175.65,7195.21,8192.00,5632.20,1200494.00,8637807717.85,105538.00
04-Apr-24,EQ,7345.00,7350.00,7255.00,7309.25,7291.95,7283.40,7308.48,8192.00,5632.20,1040589.00,7605120211.00,138082.00
03-Apr-24,EQ,7197.00,7323.35,7186.15,7207.40,7314.00,7309.25,7269.95,8192.00,5632.20,958943.00,6971467716.80,80725.00
02-Apr-24,EQ,7250.95,7255.00,7135.00,7250.95,7223.00,7207.40,7194.48,8192.00,5632.20,967615.00,6961483440.25,107512.00
01-Apr-24,EQ,7261.25,7343.45,7220.05,7245.25,7243.95,7250.95,7286.11,8192.00,5632.20,1125238.00,8198604277.35,82651.00
28-Mar-24,EQ,7032.10,7349.30,7032.10,7022.75,7235.05,7245.25,7247.76,8192.00,5522.70,3574518.00,25907257217.55,328451.00
27-Mar-24,EQ,6945.75,7049.00,6905.00,6910.10,7029.00,7022.75,6987.02,8192.00,5522.70,1551275.00,10838788558.90,122654.00
26-Mar-24,EQ,6754.50,6945.00,6745.00,6760.90,6925.00,6910.10,6902.09,8192.00,5522.70,1850321.00,12771090831.20,159954.00
22-Mar-24,EQ,6705.00,6803.00,6686.30,6715.75,6763.00,6760.90,6759.84,8192.00,5485.70,1125238.00,7606428261.65,121585.00
21-Mar-24,EQ,6707.50,6771.65,6657.15,6649.50,6710.00,6715.75,6711.96,8192.00,5485.70,1806092.00,12122411866.90,172301.00
20-Mar-24,EQ,6610.00,6731.00,6606.00,6596.25,6653.00,6649.50,6674.65,8192.00,5485.70,1490831.00,9950782490.00,142973.00
19-Mar-24,EQ,6509.70,6667.20,6505.00,6504.65,6586.00,6596.25,6595.57,8192.00,5485.70,1408087.00,9287131126.55,144924.00
18-Mar-24,EQ,6514.35,6555.00,6456.10,6514.35,6500.00,6504.65,6512.90,8192.00,5485.70,676425.00,4405485502.15,56478.00
15-Mar-24,EQ,6375.05,6578.00,6360.00,6397.45,6485.05,6514.35,6494.75,8192.00,5485.70,1970500.00,12797905664.35,145174.00
14-Mar-24,EQ,6456.15,6470.00,6297.80,6456.15,6380.10,6397.45,6402.89,8192.00,5485.70,1219865.00,7810655558.50,167464.00
13-Mar-24,EQ,6439.25,6514.95,6391.55,6436.05,6450.00,6456.15,6460.81,8192.00,5485.70,1132183.00,7314819135.60,117966.00
12-Mar-24,EQ,6405.00,6485.00,6341.35,6433.75,6449.00,6436.05,6431.10,8192.00,5485.70,1094677.00,7039981336.20,124823.00
11-Mar-24,EQ,6550.00,6552.00,6404.00,6421.05,6430.10,6433.75,6453.74,8192.00,5485.70,1203971.00,7770119488.40,117410.00
07-Mar-24,EQ,6350.00,6468.60,6325.40,6311.25,6428.00,6421.05,6420.39,8192.00,5485.70,1469421.00,9434250491.00,125772.00
06-Mar-24,EQ,6332.50,6345.90,6187.80,6324.25,6307.95,6311.25,6259.12,8192.00,5485.70,2104792.00,13174151475.10,214796.00
05-Mar-24,EQ,6602.45,6636.25,6272.00,6602.45,6333.00,6324.25,6410.17,8192.00,5485.70,1717558.00,11009834235.60,188901.00
